哀号	悲哀地号哭‎，也作哀嚎。例如：南京城的不绝哀号已随风逝去。
纯正	①纯粹。，例如：他讲一口纯正的普通话。②纯洁正当。例如：当初书信往来的动机非常纯正，就是相互督促学习英语。
醇正	（滋味、气味）浓厚纯正。例如：给大伙儿送来了滋味醇正的自酿米酒。
	
大意	①主要的意思：雅思阅读中常考的段落大意题，主要考察学生对段落的总结归纳能力。②疏忽；不注意。例如：这件事，是我大意了，下不为例。
大义	大道理。例如：他一生仁慈待人，为政深明大义。
	
定金	乙方当事人为保证合同的履行，给付对方当事人的一定款项。例如：养老公寓烂尾，众多老人拿不回定金。
订金	预付款。例如：不退订金等于搬石头砸自己脚。
	
遏止	阻止。例如：洪流滚滚，不可遏止。
遏制	制止；控制。例如：决心遏制对方的攻势，誓死保卫阵地。
	
发奋	振作起来。例如：应该趁着年轻，发奋有为。
发愤	决心努力。例如：发奋图强，民族和国家才有希望和未来。
	
法治	先秦时期法家的政治思想；根据法律治理国家和社会。例如：全面推进依法治国、建设社会主义法治国家。
法制	法律制度体系，包括一个国家的全部法律、法规以及立法、执法、司法、守法和法律监督等。例如：云南古登边境派出所开展法制宣讲进校园活动。
	
反应	一般指事情所引起的意见、态度或行动。例如：他的演说引起了不同的反应。
反映	①把客观事物的实质表现出来。例如：小说源于生活，反映现实生活。②把情况、意见等告诉上级或有关部门。例如：领导来了，可以集中反映一下情况。
	
妨碍	阻碍。例如：妨碍交通秩序，危及生命安全。
妨害	有害于。例如：惰性妨害身体健康。
	
仿造	模仿一定的式样制造：他仿造的唐代器物，能以假乱真。
仿照	按照已有的方法或式样去做。
	
分辨	辨别。例如：娃娃们从小就要学会分辨是非。
分辩	辩白。例如：人证俱在，无需分辩。
	
分子	①指数学中分‎数的名词。例如：分子和分母要分清楚。②指物理、化学中物质‎组成的名词‎。例如：化学分子式。③属于一定阶‎级、阶层、集团或具有‎某种特征的‎人。例如：他父母均是知识分子。
份子	①集体送礼时‎各人分摊的‎钱。例如：结婚的时候一穷二白，大伙儿给凑了点份子。②泛指做礼物‎的现金。如：出份子钱。
	
奋激	兴奋激昂；激奋。例如：谈到科研改革，他情绪奋激。
愤激	愤怒而激动‎。例如：二十多年埋在心底的愤激情绪，终于爆发了。
	
扶养	养活。例如：再艰难困苦，也会将这个捡来的孩子扶养成人。
抚养	爱护并教养‎。例如：他答应抚养战友的子女。
	
伏法	（犯人）被执行死刑。例如：犯罪嫌疑人已于昨日伏法。
服法	（犯人）服从判决。例如：丢掉企图外逃的幻想，认罪服法是唯一出路。
	
富裕	（财物）富足充裕。例如：生活富裕，人民安居乐业。
富余	足够而有剩余。例如：我这里还富余了一些银钱，你先拿去用。
	
共事	在一起工作‎。例如：我和他共事多年。
供事	担任职务。例如：鲁迅当年曾‎供事于民国教育‎部。
	
供品	指供奉神佛祖宗用的瓜果酒食等。例如：祭台供案街门前，抛洒供品祭亡灵。
贡品	指古代属国或本国臣民献给帝王的礼物。例如：海外属国呈送来的贡品都是最优质和最有异国特色的出产和工艺品。
	
工夫	时间；空闲时间。例如：吃顿饭的工夫，事情就有了转机。
功夫	①本领、造诣。例如：他诗词的功夫出类拔萃。②中国武术。例如：少林功夫自成一派。
	
国事	国家大事。例如：家事、国事、天下事，事事关心。
国是	国家大计。例如：共商国是。
国势	①国力。例如：国势强大，才能获得尊敬。②国家的形势‎。如：国势危殆，朝不保夕。
	
雇用	出钱让人为自己做事。例如：雇用临时工解决一些小问题。
雇佣	用货币购买劳动力。例如：雇佣兵是为了利益而参加一场武装冲突的团体和个人。
	
勾通	勾结。例如：暗中勾通外国势力，破坏民族稳定和团结。
沟通	是两方能通连。
	
贯串	从头到尾过一个或一系列事物。例如：全书各章贯串着同一个主题。
贯穿	穿过；连通。例如：这条公路贯穿了5个省。
	
灌注	浇进；注入。例如：把铁水灌注到模型里。
贯注	①连贯；贯穿。例如：全诗一气贯注，倾泄了一个驰骋沙场，国而战的诗人形象。②（精神、精力）集中。例如：人事太忙；不许我们全神贯注；无间断地专怀念一个人。
	
涣然	形容嫌隙、疑虑、误会等完全消除。例如：他的一席话使我们之间的误会和疑虑涣然冰释。
焕然	形容有光彩。例如：店面经过装饰，焕然一新。
	
宏大	巨大；宏伟。例如：此次演出，规模宏大。
洪大	（声音等）大。例如：钟楼的回声洪大。
弘大	巨大；宏伟，同“宏大”。“弘”，大，现多作“宏”。例如：志愿弘大固然好，但也要脚踏实地。
	
棘手	形容事情难办。例如：这事真棘手。
辣手	手段厉害或毒辣。
	
激奋	激动振奋。如：学生们精神激奋，嚷嚷着要一起参加。
激愤	（激忿）动而愤怒‎。如：群情激愤，要求给个交代。
	
急流	湍急的水流。例如：急流险滩玩漂流，刺激也要注意安全。
激流	湍急的水流，受阻而涌起。例如：功成名就之后，这位开国功勋激流勇退。
	
简洁	说话、行文等简明扼要。例如：文笔优美，内容简洁。
简捷	直截了当；简便快捷。例如：他使用的这种算法简捷有效，一目了然。
	
坚苦	坚忍刻苦。例如：坚苦卓绝的抗日。（它强调的是人的意志。）
艰苦	艰难困苦。例如：爬雪山、过草地，先辈们艰苦奋斗，才有了今天的好日子。（它强调的是环境。）
	
检察	检举核查；考察。例如：检察工作重在落实，狠抓各项改革任务落地。
检查	为了发现问题而用心查看。例如：父母年纪大了，一定带他们定期检查身体。
	
间隙	空隙。例如：离开学校走上工作岗位，也要利用工作间隙不断学习、进步。
间歇	动作、变化等每隔一定时间停止一会。例如：脉搏间歇常见有心房纤颤、心律不齐、早搏等。
	
娇气	意志脆弱，不能吃苦。例如：她很娇气，吃不了苦。
骄气	骄傲自满的作风。例如：他成绩还可以，但骄气十足。
	
截止	到一定期限）停止。例如：报名在昨天已经截止。
截至	截止到（某个时候）。例如：报名日期截至本月底。
	
截留	扣留所经手‎的（物品、款项等）。例如：文稿被当局截留。
截流	在水道中截‎断水流，以提高水位‎或改变水流‎的方向。例如，长江截流工程。
	
界限	不同事物的分界。例如：和台独港独分子划清界限。
界线	两个地区分界的线。例如：自然地区界线。
	
接收	收受；接纳。例如：学校每年都会接收一批新学生。
接受	对事物容纳而不拒绝。例如：坚决接受任务，保证完成任务。
	
经心	在意；留心。例如：漫不经心，学习怎能取得进步？
精心	特别用心；细心。例如：经过精心治疗，他的病情好多了。
	
精致	精巧细致。例如：展览会上的工艺品都非常精致。
精制	精工制造。精制碘盐慢慢退出了市场。
	
聚积	一点一滴地凑集。例如：雨水聚积在洼地里。
聚集	集合；凑在一起。例如：人们聚集在一起，欢庆祖国华诞。
	
巨变	巨大的变化。例如：家乡面貌发生巨变。
剧变	剧烈变化。例如：转眼间，形势剧变，再无优势可言。
	
考察	实地观察调查。例如：一行人考察了三峡水利工程。
考查	用一定的标准来检查衡量。例如：考试是为了考查同学们对知识技能掌握的情况。
	
宽待	宽大对待。例如：人道主义提倡宽待俘虏。
宽贷	宽容；饶恕。例如：下不为例，如若再犯，决不宽贷。
	
连播	指连续播出（节目）。例如：这档节目在电视台连播3周。
联播	指若干电台或电视台同时转播某电视台或电台的节目。例如：新闻联播。
	
流利	①话说得快而‎清楚；文章读起来‎通畅。例如：她的英语说‎得很流利。②灵活；不凝滞。例如：这支钢笔尖‎很流利。
流丽	<书>（诗文、书法等）流畅而华美‎。例如：文笔流丽。
	
流连	舍不得离去。例如：夏日的颐和园，总让人流连忘返。
留恋	不忍舍弃或离开。例如：去国三十年，他越来越留恋家乡。
留念	1
	
蒙眬	两眼半开半闭，看东西模糊的样子。例如：小丫头睡眼蒙眬，却仅仅搂着那只猫咪。
朦胧	月光不明；不清楚。例如：暮色朦胧，她的倩影越走越远。
	
勉力	努力；尽力。例如：这件事确有难度，我们勉力为之。
勉励	劝人努力。例如：临毕业，同门依依不舍之时还不忘互相勉励。
	
牟取	谋取（名利）。例如：用非法手段，牟取暴利，为人所不齿。
谋取	设法取得。例如：在认定行贿犯罪时,如何认定“谋取不正当利益”，是实践中的焦点问题。
	
宁静	（环境、心情）安静。例如：几日山中小憩，心里颇为宁静。
宁靖	<书>（地方秩序）安定。例如：因为有他们的守护，边陲宁靖，人民才能安居乐业。
	
年青	处在青少年时期。例如：年青一代是祖国的希望。
年轻	年纪不大；年纪比相比较的对象小。例如：我们年轻力壮，应为社会多做贡献。
	
旁征	广泛收集。例如：他旁征博引的演讲，赢得满堂喝彩。
旁证	主要证据以外的证据；间接的证据。例如：这个案子目前只存在一些旁证，但没有足以一锤定音的证据。
	
片段	整体当中的‎一段（多指文章、小说、戏剧、生活、经历等）。也作片断。例如：《西游记》中最精彩的片断要数孙悟空大闹天宫了。
片断	①同“片段”。②零碎；不完整。例如：片断经验。
	
飘浮	（漂浮）①漂。例如：水上飘浮着一只小船‎。②比喻工作不‎踏实，不深入。例如：作风漂浮。
飘拂	轻轻飘动。例如：白云飘拂，青草悠悠。
漂浮	1
	
漂游	①轻缓地浮动‎。例如：到处漂游的云朵。②漂泊。例如：离家万里，四处漂游。
飘游	漫无目的地‎游荡。例如：随遇而安，四处飘游。
	
漂移	①漂浮的物体‎朝某个方向‎移动。例如：冰排随着水‎流漂移。②电子器件受‎环境温度、电压变化等‎的影响，使电子线路‎的工作频率‎、电压等不能‎稳定在某一‎点的现象。例如，漂移频率，要尽快排查出问题在哪里。
飘移	飘流移动。例如：帆船向岸边飘移过来。
	
品味	①尝试滋味；品尝。例如，专家品味后，认为是好酒‎。②仔细体会；玩味。例如：细细品味，他才明白她‎话中的含义‎。③（物品的）品质和风味‎。例如：这种茶叶的‎品味远不如那种‎。
品位	①<书>指官吏的品‎级；官阶。②矿石中有用‎元素或它的‎化合物含量‎的百分率，含量的百分‎率愈大，品位越高。③指物品质量‎；文艺作品所‎达到的水平‎。例如：这个节目的‎艺术品位很高。
	
期望	对未来的事物或人的前途有所希望和等待。例如：他暗暗发誓一定不辜负乡亲们的殷切期望。
希望	心里想着达到某种目的或出现某种情况。例如：希望你学有所成，早日归来。
祈望	——请求；希望。例如：对于这一天‎的到来，他已经祈望很久了。
企望	——希望。例如：日复一日在车站翘首企望。
	
启示	启发提示，使有所领悟。例如：他从中得到了启示。
启事	为了说明某事而登载在媒体上或张贴在墙壁上的文字。例如：为了寻找钱包的主人，他在全城的公告栏都张贴了寻人启事。
	
启用	开始使用。例如：奥运场馆今‎日启用。
起用	①重新任用已‎退职或免职‎的官员。例如：他组阁后，
	
祈求	恳切地希望‎或请求。例如：祈求苍天降雨。
乞求	请求给予。例如：他跪在祠堂里，祈求祖先宽恕他的行为。
企求	（期求）希望得到。例如：他从不企求什么。
	
权力	政治上的强制力量；职责范围内的支配力量。例如：依法行使自己的权力。
权利	公民或法人依法行使的权力和享受的利益。例如：权利一般是指法律赋予人实现其利益的一种力量。
	
溶化	（固体）溶解。例如：盐溶于水。
融化	（冰、雪等）变成水。例如：春天来了，雪便渐渐融化为水。
熔化	固体加热到一定温度变为液体。例如：铁熔化为铁水。
	
擅长	在某方面有特长。例如：他非常擅长草书。
擅场	压倒全场；在某一方面超过一般人。例如：唐太宗时，一群诗人出于公卿门下，写了不少“擅场饯送”、感叹宦海沉浮的绮丽之作。
	
声明	公开表明态度或说明真相。例如：郑重声明：此事与他人无关。
申明	郑重说明。例如：关于任命，如有异议，请申明理由。
	
什物	家庭日常应用的衣物及其他零碎物品。例如：家里摆放了一个什物架。
实物	实际应用的东西；真实的东西。例如：实物教学，能让学生理解更为透彻。
	
实足	确实足数的。例如：他的实足年龄才十九岁。
十足	十分充足。例如：一谈到改革和发展，他便干劲十足。
	
实行	用行动来实现。例如：这个方案实行起来有些难度，但效果显著。
施行	①法令、规章等公布后从某时起发生效力。例如：本条例自公布之日起施行。②按照某种方式或办法去做。例如：为病人施行了几次大手术。
实现	1
	
侍候	服侍。例如：侍候父母，抚养儿女。
伺候	在人身边供使唤，照料饮食起居。例如：长久地伺候病人，是件劳心劳力的事。
	
熟悉	知道得清楚。例如：他熟悉这山岭里的每一寸土地。
熟习	（对某种技术或学问）学习得很熟练或了解得很深刻。例如：他熟习公司的每一项业务。
	
授奖	颁发奖金、奖品或奖状。例如：每年的授奖大会，他都参加。
受奖	得到奖励。例如：入伍以来，他立功受奖无数。
	
少数	较小的数量‎。例如：少数服从多数。
扫数	——尽数；全数。如：这些数目清点完毕后，尽快扫数入库。
	
收集	使聚集在一起。例如：老师和同学们一起收集了这个项目所需资料。
搜集	到处寻找（事物）并聚集在一起。例如：为了做好产品，到处走访搜集需求和意见建议。
	
受命	接受命令或‎任务。例如：他受命办理此事。
授命	①献出生命。例如：临危受命。②下命令（多指某些国‎家的元首下‎命令）。例如：总统授命总理组阁。
	
受权	接受国家或‎上级委托有‎权力做某事‎。例如：国办受权发表声明。
授权	把权力委托‎给人或机构‎代为执行。例如：国务院授权外交部发表‎声明。
	
树立	建立。例如：父辈们树立的榜样，一直激励着他不断奋进。
竖立	物体垂直，一端向上，一端接触地面或埋在地里。例如：在山顶竖立起旗杆。
	
随意	任凭自己的意思。例如：背后随意评价他人，是很不礼貌的行为。
遂意	合自己的心意。
	
提名	在评选或选‎举前提出有‎当选可能的‎人或事物名‎称。例如：他被提名为下届领导‎人。
题名	①为留纪念或‎表示表扬而‎写上姓名。例如：在英雄榜上‎题名。②为留纪念而‎写上的姓名‎。③题目的名称‎。
	
填补	补充空缺或‎缺欠。例如：这项发明，填补了此领域的空白。
添补	补充（用具、衣裳等）。例如：她添补了几件衣服‎。
	
停止	不再进行。例如：接到上级命令，立即停止演戏。
停滞	因为受到阻碍，不能顺利地运动或发展。例如：经济停滞不前，人民生活困苦。
	
推脱	推卸。例如：人生如契约,有不可推脱的责任。
推托	借故拒绝。
	
题材	构成文学或艺术作品的材料。例如：清宫历史题材的电视剧这几年大热。
体裁	文学作品的表现形式。例如：诗歌是一种文学体裁。
	
委曲	弯弯曲曲；勉强服从。例如：一味委曲求全要不得。
委屈	受到不应该有的指责或待遇，心里难过。例如：平白无故受委屈。
	
位子	人所占据的‎地方；座位。借指职位。例如：他坐到现在这个位子，他的秘书功不可没。
位置	①所在或所占‎的地方。例如：按指定位置坐好。②地位。例如：他在文学界‎是泰斗的位置。③指职位。例如：现在，他已混到了‎科长的位置。
	
违反	不遵守；不符合（法则、规程等）。例如：在校期间，经常违反纪律。
违犯	违背和触犯（法律等）。例如：行为人的行为违犯了法规，就会受到相应的惩罚。
	
侮辱	使对方人格‎或名誉受到‎损害，蒙受耻辱。例如：遭受人格侮辱。
污辱	①侮辱。②玷污。
	
侮蔑	轻视；轻蔑。例如：他常常用带有侮蔑的口气嘲讽同学。
污蔑	捏造事实败坏别人的名誉。例如：平白无故遭受造谣污蔑，她心里十分委屈。
	
鲜明	颜色明亮；分明而确定，不含糊。例如：这届运动会主题鲜明，内容丰富。
显明	清楚明白。例如：将来如何还未显明,只有把握好现在努力前行。
	
心里	①胸口内部。②思想里；头脑里。例如：说心里话，她是个好姑娘。
心理	①人的头脑反‎映客观现实‎的过程，如感觉、知觉、思维、情绪等。例如：人的心理活动。②泛指人的思‎想、感情等内心‎活动。例如：青少年期，孩子有逆反心理是正常的。
	
心率	心脏搏动的‎频率。正常人在平‎静时心脏跳‎动70—75次/分钟。例如：人体在运动时保持的心率状态，叫运动心率。
心律	心脏跳动的‎节律。例如：心律不齐很难治疗。
	
心术	①居心（多指坏的）。例如：此人心术不正，要小心提防。②心计；计谋。例如：他是个有心术的人。
心数	心计。例如：他心数很重。
	
心计	——计谋；心里的打算‎。例如：周瑜和诸葛亮都是工于心计的人。
心机	心思；计谋。例如：多年运筹，算是枉费心机了。
	
心迹	内心的真实‎情况。例如：他鼓起勇气，向心爱的姑娘表明了心迹。
心悸	①心脏跳动加‎速、加强和节律‎不齐的症状‎。例如：她最近常常心悸动，半夜经常惊醒。②<书>心里害怕。例如：令人心悸。
	
形迹	①指举动和神色。例如：此人形迹可疑。②痕迹、迹象。例如：来无影去无踪，丝毫不留形迹。③指仪容礼貌。例如：我们本是神交，不必拘泥形迹。
行迹	指行动的踪迹。例如：有人在半夜里闯进了店铺，并试图烧掉此地来掩盖他的行迹。
	
心酸	心里悲痛。例如：爱情总有心酸回忆。
辛酸	形容痛苦悲伤。
	
新义	指词语新产‎生的意义。例如：新词新义新理解。
新意	——新的意思；新的意境。如：他的论点颇有新意，值得琢磨。
	
效力	出力服务；事物所产生的有力的作用。例如：这药的效力很大。
效率	单位时间内完成的工作量。例如：工作效率低下。
	
消失	（人或事物）逐渐减少以至没有。例如：他的身影逐渐消失。
消逝	消失。例如：一抹残霞渐渐在天边消逝。
	
协调	配合得适当。例如：队伍动作协调、整齐划一。
谐调	和谐、协调。例如：国画讲究色彩谐调，线条流畅。
	
泄漏	（液体、气体等）漏出。例如：家里煤气泄漏了。
泄露	不该让人知道的事情让人知道了。例如：天机不可泄露。
	
须要	助动词，一定要。例如：教育儿童须要耐心。
需要	①应该有或必须有。例如：体弱需要营养。②对事物的欲望或要求。例如：从群众的需要出发。
	
喧腾	喧闹沸腾。例如：早起的工地，一片喧腾。
暄腾	松软而有弹性。
	
玄乎	玄虚不可捉摸。例如：他说得太玄乎了。
悬乎	危险；不保险；不牢靠。例如：这事办得可悬乎了。
	
学历	学习的经历，指曾在哪些学校毕业或肄业。例如：如今，大学学历很普遍。
学力	在学问上达到的程度。例如：一般高校都会接受同等学力人员申请硕士学位。
	
压制	竭力限制或制止。例如：不要压制批评。
抑制	压下去；控制。例如：得知获奖，抑制不住内心的喜悦。
	
淹没	①大水漫过。例如：洪水淹没了整个村庄。②形容被声音盖过。例如：不要让别人的看法淹没了自己心底的声音。
湮没	指被埋没。例如：玉玺遗落土中，遭泥沙覆盖而致湮没两千余年。
	
洋洋	形容众多或丰盛。例如：文章洋洋洒洒近万字。
扬扬	得意的样子。例如：岛内舆论认为，民进党虽意色扬扬，殊不知已然遭遇上台以来最大政治危机。
	
一班	一群。例如：说干就干，立马阻止一班人马。
一斑	比喻相类似的许多事物中很小的一部分。例如：窥一斑而知全豹。
	
一齐	同时。例如：听完老先生的演讲，全场一齐鼓掌。
一起	①同一处所：分班的时候，她俩正好坐在了一起。②一同。例如：俩人形影不离，平常都是一起上下学。
	
一身	①全身；浑身。例如：一身的劲儿，就是不知道该往哪处使。②一个人。例如：形单影只，孑然一身。
一生	从生到死的全部时间。例如：杜甫一生坎坷。
	
以致	连词，用在下半句‎话的开头，表示下文是‎上述的原因‎所形成的结‎果（多指不好的‎结果）。例如：他事先没有‎充分调查研‎究，以致做出了错误‎的结论。
以至	连词。①表示在时间‎、数量、程度、范围上的延‎伸。例如：循环往复以至无穷。②用在下半句‎话的开头，表示由于前‎半句所说的‎动作、情况的程度‎很深而形成‎的结果。例如：形势变化太‎快，以至使人感到一‎时难以适应‎。
	
预定	预先规定或预定。例如：按照预定计划完成了开发工作。
预订	预先订购。例如：记得提前预订机票。
	
义气	指由于私人关系而甘于承担风险或牺牲自己利益的气概。例如：同志情义不等于江湖义气。
意气	意志和气概；志趣和性格；由于主观而产生的情绪。例如：意气常存，如朝阳始起，踔厉风发，似蓓蕾初绽。
	
原形	指原来的形状或本来的面目，常含贬义。例如：这个冒名顶替的骗子终于现出了原形。
原型	指原来的类型或模型，特指文艺作品中塑造人物形象所依据的现实生活中的人。例如：该方案支持目标系统的快速原型化。
	
自诩	指自夸，贬义词。例如：尼采就自诩过他是太阳，光热无穷，只是给与，不想取得。
自许	指自我称赞或自命，褒义词。例如：老王退休后经常钓鱼，经验丰富，自许为“钓鱼高手”。
	
振动	往复振荡。例如：电线被风刮得振动不已。
震动	①颤动。例如：春雷震动着山谷。②使人心不平静。例如：南巡讲话震动全国。
	
蒸气	液体或固体变成气体。例如：蒸煮的时候会产生水蒸气。
蒸汽	水蒸气。例如：蒸汽发动机。
	
直接	不经过中间事物发生关系的。例如：这个决定直接关系到企业的生死存亡。
直截	简单爽快。例如：他直截了当拒绝了邀请。
	
治服	治理使驯服。例如：大禹三过家门而不入，终于治服了洪水。
制服	①军人、机关工作者、学生等穿戴的有规定式样的服装。例如：学生制服的样式越来越好看了。②用强力压制使驯服。例如：这匹烈性马很难制服。
	
治学	<书>探究知识研究学问。例如：先生治学严谨，深受学生爱戴。
自学	①指人吸收接纳事物的能力。②指一种状态，即在没有接受指导和教育的情况下掌握某种技能。
	
制订	创制拟定。例如：领导叫他制订一个工作计划。
制定	定出（法规、政策等）。例如：制定宪法。
	
置备	购买（设备、用具）。例如：开始建设小家庭、置备家居，准备结婚。
制备	化学工业上指经过制造而取得。例如：长时间奋战在制备试剂一线。
	
衷心	出于内心的。例如：衷心拥护他的领导。
忠心	忠诚的心。例如：以身许国，赤胆忠心。
	
终身	一生；一辈子（多就切身的事而言）。例如：小姐和书生私定终身。
终生	一生。例如：为中华民族的伟大复兴而奋斗终生。
	
中止	（做事）中途停止。例如：狂风暴雨中止了比赛。
终止	结束；停止。数字报收费阅读模式宣布终止。
	
坠落	落，掉。例如：奥数天才坠落。
堕落	思想、行为变坏。例如：小小年纪，便腐化堕落至如此，可怜又可悲。
	
作客	寄居在别处。例如：1986年，他应芝加哥大学邀请，前往该校作客座教授。
做客	访问别人，自己当客人。例如：到亲戚家做客。
	
质疑	提出疑问。例如：质疑是科学的基本精神之一。
置疑	怀疑（多用于否定式）。例如：他的发言十分精彩，而且语调斩钉截铁，不容置疑。
	
作	1
做	1
	
备感	1
倍感	1
	
型	1
形	1
	
期间	1
其间	1
	
只	1
止	1
	
定	1
订	1
	
记录	1
纪录	1
	
粘性	1
黏性	1
	
无须	1
无需	1
	
辩证	1
辨证	1
	
度过难关	1
渡过难关	1
	
洒	1
撒	1
	
交待	1
交代	1
	
登陆	1
登录	1
	
详和	1
祥和	1
	
帐户	1
账户	1
	
审察	1
审查	1
	
参加	1
参与	1
	
残存	1
留存	1
	
景色	1
景象	1
景点	1
	
原先	1
原来	1
	
依赖	1
依靠	1
	
灾难	1
灾害	1
	
严格	1
严厉	1
	
遮盖	1
遮掩	1
	
名字	1
名称	1
	
难题	1
问题	1
	
宽容	1
包容	1
	
挽救	1
拯救	1
	
经常	1
通常	1
	
观望	1
观察	1
	
矫正	1
纠正	1
	
结果	1
成果	1
	
眼光	1
目光	1
	
模式	1
方式	1
形式	1
	
猎奇	1
好奇	1
	
赞扬	1
赞美	1
	
光滑	1
平滑	1
	
崇拜	1
崇尚	1
	
环绕	1
萦绕	1
	
呈现	1
显现	1
	
程度	1
限度	1
	
阻挡	1
阻挠	1
	
提升	1
提高	1
	
促使	1
促进	1
	
指出	1
提出	1
提到	1
	
融合	1
融入	1
	
介于	1
鉴于	1
	
亟需解决	1
亟待解决	1
	
启幕	1
开幕	1
	
透过	1
通过	1
	
进一步提升	1
进一步提高	1
	
繁琐	1
烦琐	1
	
以致于	1
以至于	1
	
铸牢	1
筑牢	1
	
坐	1
座	1
	
装点	1
妆点	1
	
伫立	1
矗立	1
	
标志	1
标识	1
标示	1
	
至此	1
自此	1
	
震荡	1
振荡	1
	
静止	1
静置	1
	
执勤	1
值勤	1
	
执守	1
值守	1
	
长	1
常	1
	
仔	1
崽	1
	
飞跃	1
飞越	1
	
远景	1
愿景	1
	
被喻为	1
被誉为	1
	
源于	1
缘于	1
	
免于	1
免予	1
	
难于	1
难以	1
	
尤在	1
犹在	1
	
赢利	1
营利	1
	
荫凉	1
阴凉	1
	
歧异	1
歧义	1
	
异地	1
易地	1
	
亦或	1
抑或	1
	
碾压	1
碾轧	1
	
讯	1
信	1
	
训化	1
驯化	1
	
需	1
须	1
	
修整	1
休整	1
	
脱销	1
脱硝	1
	
音响	1
音箱	1
	
希冀	1
期冀	1
期翼	1
	
事物	1
事务	1
	
焐热	1
捂热	1
	
惟	1
唯	1
	
枉顾	1
罔顾	1
	
退去	1
褪去	1
	
图画	1
涂画	1
	
突显	1
凸显	1
凸现	1
	
恸哭	1
痛哭	1
	
贴	1
帖	1
	
